ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
MSN,2017,4,2341810000000.0,688876000000.0,94574000000.0,16000000.0,0.0,-1838136000000.0,1026781000000.0,0.0,2313921000000.0,-30284000000.0,54144000000.0,219416000000.0,52017000000.0,-912874000000.0,-258232000000.0,0.0,-79000000.0,1438029000000.0,-454835000000.0,2353000000.0,280213000000.0,2303831000000.0,-522403000000.0,3867405000000.0,174566000000.0,5651130000000.0,-35742000000.0,-5876977000000.0,6506660000000.0,-4994650000000.0,-4283000000.0,-31052000000.0,-4436044000000.0,2653115000000.0,4765527000000.0,-1531000000.0,7417111000000.0,VCI,quarterly
MSN,2017,3,1092177000000.0,655990000000.0,31099000000.0,-1871000000.0,0.0,-636124000000.0,735123000000.0,0.0,1876394000000.0,-328320000000.0,842432000000.0,253694000000.0,-50639000000.0,-584059000000.0,-102508000000.0,0.0,-102000000.0,1906892000000.0,-442255000000.0,2864000000.0,-2519058000000.0,480100000000.0,0.0,0.0,66296000000.0,-2412053000000.0,148453000000.0,-247000000.0,5809550000000.0,-6716856000000.0,-4136000000.0,-3119000000.0,-766355000000.0,-1271516000000.0,6034414000000.0,2629000000.0,4765527000000.0,VCI,quarterly
MSN,2017,2,353265000000.0,626370000000.0,42608000000.0,-10005000000.0,0.0,-473363000000.0,895085000000.0,0.0,1433960000000.0,75764000000.0,630415000000.0,222068000000.0,-67513000000.0,-1181222000000.0,-113803000000.0,0.0,0.0,999669000000.0,-688402000000.0,4289000000.0,-1078175000000.0,1972156000000.0,0.0,7568000000.0,123477000000.0,340913000000.0,3399940000000.0,0.0,5595844000000.0,-11118961000000.0,-3994000000.0,-229579000000.0,-2356750000000.0,-1016168000000.0,7047714000000.0,2868000000.0,6034414000000.0,VCI,quarterly
MSN,2017,1,351385000000.0,639410000000.0,1077000000.0,2614000000.0,0.0,-438804000000.0,891943000000.0,0.0,1447625000000.0,-28352000000.0,-495322000000.0,-1727260000000.0,38139000000.0,-583210000000.0,-229735000000.0,0.0,-16000000.0,-1578131000000.0,-525531000000.0,1257000000.0,-2031224000000.0,1996400000000.0,0.0,0.0,113060000000.0,-446038000000.0,0.0,0.0,6104956000000.0,-7727830000000.0,-3858000000.0,-2449198000000.0,-4075930000000.0,-6100099000000.0,13148938000000.0,-1125000000.0,7047714000000.0,VCI,quarterly
MSN,2016,4,1427050000000.0,647487000000.0,53692000000.0,20574000000.0,0.0,-451700000000.0,872343000000.0,0.0,2569446000000.0,-39877000000.0,-20005000000.0,791920000000.0,18801000000.0,-1089401000000.0,-273456000000.0,0.0,1000000.0,1957429000000.0,-708519000000.0,5907000000.0,-26539038000000.0,28539368000000.0,-2727995000000.0,12483000000.0,187430000000.0,-1230364000000.0,1138749000000.0,-238030000000.0,8005149000000.0,-8166750000000.0,-3726000000.0,-34208000000.0,701184000000.0,1428249000000.0,11723007000000.0,-2318000000.0,13148938000000.0,VCI,quarterly
MSN,2016,3,1227246000000.0,623521000000.0,21259000000.0,2520000000.0,0.0,-476927000000.0,842244000000.0,0.0,2239863000000.0,132534000000.0,-1432475000000.0,37786000000.0,8294000000.0,-442131000000.0,-170549000000.0,0.0,-1432000000.0,371890000000.0,-688981000000.0,447000000.0,-20948606000000.0,20900401000000.0,-425587000000.0,0.0,156956000000.0,-1005370000000.0,-59000000.0,-403080000000.0,8641435000000.0,-4390343000000.0,-3598000000.0,-27954000000.0,3816401000000.0,3182921000000.0,8540118000000.0,-32000000.0,11723007000000.0,VCI,quarterly
MSN,2016,2,1276829000000.0,574924000000.0,38409000000.0,-1662000000.0,0.0,-402320000000.0,709454000000.0,0.0,2195634000000.0,323115000000.0,-321413000000.0,763434000000.0,57203000000.0,-933311000000.0,-145777000000.0,0.0,-5641000000.0,1933244000000.0,-710439000000.0,6882000000.0,-19881956000000.0,23690367000000.0,-2193535000000.0,120908000000.0,162998000000.0,1195225000000.0,71349000000.0,0.0,5602020000000.0,-4858752000000.0,-3475000000.0,-89040000000.0,722102000000.0,3850571000000.0,4686894000000.0,2653000000.0,8540118000000.0,VCI,quarterly
MSN,2016,1,515278000000.0,533328000000.0,11626000000.0,1892000000.0,0.0,-335506000000.0,688439000000.0,0.0,1415057000000.0,-191461000000.0,747977000000.0,-1119571000000.0,-189997000000.0,-493700000000.0,-305605000000.0,0.0,-6662000000.0,-143962000000.0,-812644000000.0,56000000.0,-27097654000000.0,28815910000000.0,-19724374000000.0,85310000000.0,609278000000.0,-18124118000000.0,14369527000000.0,-266927000000.0,6768539000000.0,-6209714000000.0,-3356000000.0,-26272000000.0,14631797000000.0,-3636283000000.0,8324476000000.0,-1299000000.0,4686894000000.0,VCI,quarterly
MSN,2015,4,1634599000000.0,521047000000.0,47406000000.0,-11001000000.0,-11730000000.0,-1090842000000.0,1189482000000.0,829549000000.0,3108510000000.0,683852000000.0,68354000000.0,519450000000.0,-105357000000.0,-1091283000000.0,-304600000000.0,0.0,3672000000.0,2882598000000.0,-1249883000000.0,2925000000.0,-21549352000000.0,20578883000000.0,-422447000000.0,450000000000.0,20164000000.0,-2169710000000.0,87441000000.0,0.0,7506845000000.0,-7301149000000.0,0.0,-9128000000.0,284009000000.0,996897000000.0,7332367000000.0,-4788000000.0,8324476000000.0,VCI,quarterly
MSN,2015,3,682848000000.0,510036000000.0,47844000000.0,-81858000000.0,9932000000.0,141668000000.0,508133000000.0,-577768000000.0,1240835000000.0,-655611000000.0,1117403000000.0,-115338000000.0,198788000000.0,-734247000000.0,-142558000000.0,0.0,-5267000000.0,904005000000.0,-1431910000000.0,0.0,-4216826000000.0,4493266000000.0,-1036997000000.0,-42250000000.0,341576000000.0,-1893141000000.0,147512000000.0,0.0,12841882000000.0,-14159440000000.0,0.0,-74900000000.0,-1244946000000.0,-2234082000000.0,9555419000000.0,11030000000.0,7332367000000.0,VCI,quarterly
MSN,2015,2,751647000000.0,444448000000.0,19736000000.0,58792000000.0,1798000000.0,-417149000000.0,571255000000.0,-115446000000.0,1315081000000.0,28122000000.0,-499606000000.0,897274000000.0,-128463000000.0,-14991000000.0,-138379000000.0,0.0,-3920000000.0,1455118000000.0,-1133857000000.0,1915000000.0,-27517550000000.0,20940182000000.0,-507551000000.0,1579203000000.0,407430000000.0,-6230228000000.0,0.0,0.0,13869495000000.0,-3656996000000.0,0.0,-634865000000.0,9577634000000.0,4802524000000.0,4750081000000.0,2814000000.0,9555419000000.0,VCI,quarterly
