exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-08-28,2024,0.21,cash
2024-09-13,2023,0.6,cash
2023-08-29,2022,0.36,cash
2022-07-04,2021,0.3,cash
2021-06-28,2020,0.3,cash
2020-07-14,2019,0.35,cash
2019-08-29,2018,0.13,cash
2019-08-29,2019,0.1,cash
2019-03-15,2018,0.2,cash
2018-08-27,2018,0.2,cash
2018-06-28,2017,0.2,cash
2017-11-20,2017,0.1,cash
2017-09-15,2017,0.1,cash
2017-06-28,2016,0.1,cash
2017-04-10,2016,0.07,cash
