Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
MBB,2025,2,9.0908254811,0.041808907648568726,2.0943615131898023,0.47506865639890083,0.2049440193,0.0,0.0213020737,0.0,10.090825481118888,215873997561200.0,8054999909.0,8.7989800619,1.7601768481,3.4910928254,-60.6151578017,729.6840554191494,15225.7428163306,VCI,yearly
MBB,2025,1,8.3543781235,0.043514789885629734,2.026729300887504,0.5617205476752675,0.2168813014,0.0,0.0229309625,0.0,9.354378123490315,163540907261200.0,6102272659.0,6.6199518929,1.3791227132,2.7851341431,-8.7028930087,1076.277702916716,19432.6434799838,VCI,yearly
MBB,2024,4,8.6429617495,0.046390188258063215,1.9182948311454662,0.5639969133503342,0.2117572966,0.0,0.0218287698,0.0,9.642961749538468,140352271157000.0,6102272659.0,6.1686849885,1.2514836989,2.5328300014,-7.5160223345,1029.8055087282523,18378.1858443504,VCI,yearly
MBB,2024,3,8.3509298648,0.04431609050302283,1.8029872499671273,0.5558566658042641,0.2069997625,0.0,0.0220924997,0.0,9.350929864809055,129978407636700.0,6102272659.0,6.042346307,1.2262773688,2.5687396296,7.8782741191,948.8523905041064,17369.6429056924,VCI,yearly
MBB,2024,2,8.4863011427,0.047168925986759466,1.7077891110994357,0.5722803468161437,0.2164211217,0.0,0.0233628213,0.0,9.486301142722278,137168476744200.0,5306324052.0,6.3511609636,1.3670254117,2.7454859751,2.6317628028,1135.767235649407,18909.6704265886,VCI,yearly
MBB,2024,1,7.88725563,0.049770318996109626,1.6607160915783654,0.5001712039105335,0.2148086782,0.0,0.0232842679,0.0,8.887255630037329,122045453196000.0,5306324052.0,5.9664522485,1.2373823055,2.5751765548,3.2399106267,854.2067833741866,18587.6263932326,VCI,yearly
MBB,2023,4,8.7708852812,0.050192615311331346,1.5848383775078378,0.5441556559442623,0.2345312456,0.0,0.0247110377,0.060851927,9.770885281190766,130326621881800.0,5287084052.0,6.2230229745,1.3878847764,2.7549666231,3.1159543711,943.122135180309,17760.840394523,VCI,yearly
MBB,2023,3,7.8911715992,0.05260073518742495,1.503751145315711,0.5884006113867262,0.2235398773,0.0,0.0245863339,0.0702576112,8.89117159918331,111320694510200.0,5214084052.0,4.9772280168,1.267188724,2.353148292,7.1475591048,1107.2443294782545,16848.3191148987,VCI,yearly
MBB,2023,2,8.3673265107,0.05726198630765662,1.410443761031557,0.516116869186626,0.2234403437,0.0,0.0246997409,0.0817438692,9.367326510724101,95678442354200.0,5214084052.0,5.2482676006,1.1643459061,2.0696972453,-4.0765711991,938.5147901716257,15759.9214321219,VCI,yearly
MBB,2023,1,7.9746843728,0.05903898314404357,1.3891133309977521,0.4912063358929474,0.2308526861,0.0,0.025617408,0.0714285714,8.974684372780066,95213708793000.0,4533986133.0,5.3013759809,1.1766142342,2.0748575069,-8.6296830386,1108.0011832052069,17847.8207974704,VCI,yearly
MBB,2022,4,8.1508970765,0.06372695469077817,1.3046486686002405,0.3566223193855779,0.2460637334,0.0,0.0261781704,0.0819672131,9.150897076526952,82971946233900.0,4533986133.0,4.7459362997,1.0924678869,1.819854554,44.2203614903,757.4198286591892,16751.0644655957,VCI,yearly
MBB,2022,3,7.6524212607,0.05812548027347588,1.243960737939881,0.539815606990839,0.2543677864,0.0,0.0273401771,0.0821917808,8.652421260706578,82745246927250.0,4533986133.0,4.7082111222,1.1409716638,1.8823684182,-6.2152034597,1076.1376097927293,15995.1386864994,VCI,yearly
MBB,2022,2,8.2836560146,0.06373441782161221,1.161973742609196,0.5154412677940992,0.2424592747,0.0,0.0254531778,0.0862068966,9.283656014628553,78891358714200.0,4533986133.0,5.0192843194,1.1657482138,1.8931512854,3.1890907085,1019.6771371554612,14926.0361665954,VCI,yearly
MBB,2022,1,8.6779817555,0.06804699626091956,1.098992977658752,0.5421521832070536,0.224129297,0.0,0.0234515352,0.0592885375,9.677981755453798,95591540958100.0,3778321777.0,6.9823393028,1.4942663391,2.4277401722,7.7144956066,1203.2349991137348,16931.3858839186,VCI,yearly
MBB,2021,4,8.7164196063,0.07487189575179076,1.0239795317543186,0.49179473646919547,0.2255543204,0.0,0.0230411303,0.0477707006,9.716419606349406,118639303797800.0,3778321777.0,9.3434776188,1.9914331915,3.212154225,26.5503411114,933.2354966335627,15767.5387423732,VCI,yearly
MBB,2021,3,8.4412795483,0.07394691214273502,0.9643520748488403,0.46386584958176225,0.203137064,0.0,0.0212995961,0.0501672241,9.441279548271577,112971821132300.0,3778321777.0,10.1580540843,2.0133089953,3.271515453,4.086990251,799.8725832185785,14851.1729047475,VCI,yearly
