Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VIC,2025,2,2.7427259893000002,5.0383390796,1.1642829006573683,4.08949505927466,0.2997178504,1.389396394,44.15624182323447,234.5393542967,74.3252017217,353.0207978416345,1.5562420264,-0.11069341844208311,0.07356947189970792,-0.020268387591195293,0.0964351479,0.0151032093,0.0158672857,31552104000000.0,-5138664000000,1.0327375992,0.1498148324,0.7691433679,0.6748789531560829,6.038339079583714,658865652552000.0,3853015512.0,49.0399071727,4.5642053129,2.578949956,5.5779318927,-244.20067790269513,37465.4486986659,27.8073996762,VCI,quarterly
VIC,2025,1,2.5238995978,4.228686703,1.1493602959981852,4.057558181495687,0.3168547122,1.3678419215,42.41016725392369,229.5217931249,71.1356767985,343.0676371773237,1.5902629333,0.10653387528913333,0.22848839729158205,0.08302778036839437,0.0801665078,0.029030658,0.0137985151,36311744000000.0,8954529000000,0.8445085334,0.0771298337,0.593062702,-1.467388584443683,5.228686703000949,432073756393000.0,3823661561.0,40.0353541167,2.9916621956,1.7187874702,14.6928731271,1825.1518573664894,37771.6441939041,18.187335078,VCI,quarterly
VIC,2024,4,2.2964485641,4.4383379952,1.1892218949274447,3.964319474647265,0.251376865,1.1013052776,57.11250615151704,258.4729804534,90.1508397047,405.736326309617,1.4121398661,-0.02591331659930725,0.1478293994309826,0.03527509401204687,0.0947927887,-0.015609484,0.0158257623,16725716000000.0,-1610575000000,0.784654971,0.0914532831,0.5588643906,0.2327544633521643,5.438337995237882,269568140050500.0,3823661561.0,22.9723161745,1.9619676247,1.4257731769,13.1168379345,573.3854748971597,35933.3146535246,28.9282039137,VCI,quarterly
VIC,2024,3,1.9908491868999998,3.8185132265,1.1374458052377825,4.232905003036865,0.2145766918,0.8736830985,62.89096992049002,308.8866558805,92.8923350118,464.66996081279,1.1816632187,0.0700770534397787,0.20801114500891862,0.08424696209708264,0.073997828,-0.0406021881,0.0132794795,6603302000000.0,4404344000000,0.9013177716,0.0574820678,0.6287270955,-0.78533051558877,4.818513226468889,153711194752200.0,3823661561.0,16.3143902353,1.1400398097,0.9959038726,-5.3642990791,1384.7781545329085,35261.926519652,55.727873381,VCI,quarterly
VIC,2024,2,2.0526737386000002,3.4493738645,1.1360262447986291,4.182457691771898,0.2057351597,0.8353974505,70.54930243656067,307.3340784785,98.0987852571,475.98216617216065,1.1876326954,0.001216501555007979,0.16861324398351374,-0.08337485518148012,0.0284544979,-0.0388807263,0.0052936328,5229184000000.0,51491000000,0.8469229215,0.0689145162,0.5890472665,-0.009158160983078985,4.449373864455088,161167334796150.0,3823661561.0,45.5111195779,1.2437985756,1.1558077968,-7.4629524022,-922.9417781099481,33888.123708865,74.0642143776,VCI,quarterly
VIC,2024,1,2.1129022708,3.3989652097,1.1145899055252513,4.065293005014716,0.2231872239,0.9213840799,72.37551051592672,285.267069714,101.0470489992,458.6896292291267,1.2795027494,-0.4007537409891445,-0.0899390399577671,0.3649961253079904,0.073235891,-0.0272693084,0.0138027144,8318407000000.0,-8711786000000,0.8875888302,0.0675817163,0.6356849167,1.8037839812097078,4.398965209699851,159637870171750.0,3823661561.0,18.098831642,1.2244921657,1.1054534015,-6.4966135232,2075.0970956553233,34095.7673476478,46.5092970531,VCI,quarterly
VIC,2023,4,2.0932941013999997,3.5044405108,1.0781820550268968,3.8145207276695023,0.2593082713,1.1524294568,62.695324521301764,272.673286578,94.4972987134,429.8659098127017,1.3385983078,-0.40038053400764745,-0.1027784174376249,-0.005788512461019437,0.0192725578,-0.0068294778,0.0034647644,15137156000000.0,-10981546000000,0.856062474,0.0697302191,0.6252522992,2.0413373970924145,4.523780188639527,185256402630450.0,3823661561.0,86.9103220792,1.6287565268,1.1476131675,-9.3674873304,-41.52198029746074,29746.6190941474,25.4954299626,VCI,quarterly
VIC,2023,3,1.985603622,3.2559999789,1.0062736914073256,3.7867133171039034,0.2927481497,1.2759691437,64.86673727750696,260.4676164052,100.9846414136,426.31899509630694,1.4013258348,0.09877424052679172,0.24483957651873264,-0.013953414357657247,0.0331011888,0.0346821368,0.0063104044,28241534000000.0,4736018000000,0.8644134383,0.0506989546,0.6217251652,-0.8604089833914083,4.255999978930537,164417447123000.0,3823661561.0,44.0136950025,1.3371338206,0.93752271,-15.9170293238,-174.9728602614681,32158.3369862477,12.9273907403,VCI,quarterly
VIC,2023,2,1.9255107615,3.3512400592,1.0430856302686362,3.548600799834168,0.2685120732,1.2094242732,72.88034245047898,288.412861184,105.8864507932,467.179654427679,1.2655468917,0.09469369921831647,0.2251931257249278,0.038569219680455284,0.0485353987,0.022813355,0.0092779699,25262335000000.0,4478560000000,0.8238325526,0.0554604957,0.5738094725,-1.4019196823630944,4.351240059230247,177348003586500.0,3813935561.0,33.3389727533,1.5695377393,1.1356172933,-5.5822589287,478.2828579100894,29626.5574477544,14.2371144071,VCI,quarterly
