ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
PLX,2017,4,1331202550526.0,520116210754.0,20389022357.0,-34759613907.0,-385600983342.0,172058428150.0,1196520262908.0,1529401606581.0,-2523881869945.0,-2367184556406.0,1390018770334.0,-217251862575.0,-171476652955.0,-255404648385.0,31733773034.0,-103427329596.0,-2698423089913.0,-590998372948.0,11980044390.0,-1897399263264.0,1492103440067.0,19730380394.0,8494677840.0,51577677013.0,-904511416508.0,1009547435911.0,0.0,18676210971050.0,-14018593139197.0,0.0,-199502951548.0,5467662316216.0,1864727809795.0,12641940439133.0,-25646861814.0,14481021387114.0,VCI,yearly
PLX,2017,3,1106096913688.0,480995840982.0,34275165769.0,-186921499.0,-133238151165.0,125101299959.0,0.0,2184659233316.0,-197131919666.0,1387366536319.0,2597020597218.0,-6403081495.0,-117187997308.0,-170531158600.0,696115543543.0,-301552888175.0,6061548776652.0,-419670710770.0,7652065293.0,-1643841583000.0,888869568550.0,-108238455674.0,11036901340.0,576690801504.0,-687501412757.0,-1009547435911.0,0.0,17703222967216.0,-17702434862314.0,0.0,-3615843556932.0,-4624602887941.0,749444475954.0,11890061460545.0,2434502634.0,12641940439133.0,VCI,yearly
PLX,2017,2,1089961095880.0,559890873568.0,31109471111.0,12435064588.0,-551641615768.0,144573012730.0,0.0,1828803603665.0,-114397599660.0,-106487667883.0,592311174437.0,56665350866.0,-171155361224.0,-247596047070.0,72310358334.0,-221131953023.0,1684225653942.0,-726914563453.0,6089072148.0,-1427987680000.0,384203938461.0,-67390322760.0,950000000.0,648456878595.0,-1182592677009.0,1009547435911.0,0.0,12521690719205.0,-13987226671916.0,0.0,-242068441820.0,-698056958620.0,-196423981687.0,12106400576347.0,-19915134115.0,11890061460545.0,VCI,yearly
PLX,2017,1,1349866173528.0,516401428906.0,-12793516418.0,-17009629280.0,-42229579000.0,141715666594.0,0.0,2112384028057.0,-401645231413.0,-2980123955200.0,190403978458.0,379643755.0,-119913874025.0,-466456297922.0,181789204231.0,-341828895794.0,-1809769719853.0,-605515393167.0,2167783218.0,-474385320000.0,430077276539.0,-2000000000.0,0.0,28845063579.0,-620810589831.0,0.0,0.0,19743980991812.0,-16577089982328.0,0.0,0.0,3166891009484.0,736310699800.0,11353600192147.0,16489684400.0,12106400576347.0,VCI,yearly
PLX,2016,4,2236311526420.0,506026855579.0,-14614516771.0,-9823255390.0,-502962065446.0,104730836976.0,0.0,2428748824489.0,-559015124999.0,492804347667.0,2167335548055.0,-482226882279.0,-105610261890.0,-458300950339.0,73222687144.0,-249906785997.0,3297993223201.0,-518398917882.0,48452771278.0,545101139432.0,-663877880928.0,0.0,924440000.0,-212475353546.0,-800273801646.0,-2.0,-4.0,11733393522055.0,-12811595934562.0,0.0,-42984803237.0,-1121187215750.0,1376532205805.0,10001943049674.0,15590116558.0,11394065372037.0,VCI,yearly
PLX,2016,3,1267487696779.0,503841980023.0,-124444677804.0,-12420009790.0,-148038372033.0,140091669772.0,0.0,1919768422697.0,1570188908579.0,635274664731.0,-2215201988727.0,-67013381866.0,-135005630767.0,-176319849014.0,132176893008.0,-369932261802.0,1297221676839.0,-789532453219.0,25508542729.0,-722464939432.0,623757492740.0,-2000000000.0,-182906148439.0,238202581360.0,-809434924261.0,0.0,-497098935736.0,6063799204470.0,-7209617062766.0,0.0,-93155083760.0,-1736071877792.0,-1248285125214.0,11250966423911.0,-738249023.0,10001943049674.0,VCI,yearly
PLX,2016,2,1425364468253.0,502889012889.0,151132338198.0,14823461578.0,-480085153963.0,146387167151.0,0.0,802119140767.0,-559108499924.0,-3487294993000.0,2188024098728.0,-22423514122.0,-160141840548.0,-148004667948.0,77625906616.0,-205267095016.0,-1510806939447.0,-862178799981.0,10878323594.0,-639700000000.0,553394963276.0,2000000000.0,192831202000.0,508441452101.0,-234332859010.0,4039370548092.0,0.0,22020523878988.0,-24687982606241.0,0.0,-55157315766.0,1316754505073.0,-428385293384.0,11677916034880.0,1435682415.0,11250966423911.0,VCI,yearly
PLX,2016,1,1371192705722.0,461832772148.0,12869436959.0,-50838381499.0,-102892272670.0,155536812568.0,0.0,1847701073228.0,-1720631077712.0,1455195055226.0,436399643500.0,29695692491.0,-146396234512.0,-200513009413.0,134728587581.0,-127409013092.0,1710729567297.0,-518708825508.0,2368611622.0,-703137042056.0,727550517902.0,-2000000000.0,3905000000.0,91346406691.0,-398675331349.0,0.0,0.0,18424604572863.0,-19344502075103.0,0.0,0.0,-919897502240.0,392156733708.0,11288673192851.0,-2913891679.0,11677916034880.0,VCI,yearly
PLX,2015,4,1130257298808.0,455161536715.0,187945337723.0,-120795011567.0,223887273857.0,175092050271.0,0.0,2051548485807.0,-327235265033.0,209678192353.0,-1496297838169.0,-164902392157.0,-180914119448.0,-99559683608.0,109676981032.0,-229573438175.0,-127579077398.0,-696121373110.0,13848753315.0,-668555263288.0,986752632240.0,1639875000.0,37514685308.0,78434761898.0,-246485928637.0,0.0,0.0,23702256356654.0,-23260964822052.0,0.0,-126647659325.0,314643875277.0,-59421130758.0,11336846217495.0,-914115592.0,11276510971145.0,VCI,yearly
PLX,2015,3,747940521824.0,459242572447.0,-87773288244.0,84900647405.0,-216597270925.0,123976185750.0,0.0,1111689368257.0,-1720519302521.0,1592096750849.0,-1652689364120.0,39827405990.0,-128442236617.0,-140114226204.0,157895265819.0,-155393223448.0,-895649561995.0,-265951135928.0,28426340303.0,-645252008022.0,858603379175.0,-1639875000.0,4988450299.0,264649849871.0,243825000698.0,0.0,0.0,17943126862372.0,-17193344195975.0,0.0,-11097500000.0,738685166397.0,86860605100.0,11366416569301.0,2351642726.0,11455628817127.0,VCI,yearly
PLX,2015,2,1312165211756.0,441707773779.0,30594296987.0,67349714177.0,-377848110290.0,144316316713.0,0.0,1618285203122.0,5016370673844.0,-683837396754.0,1569389712230.0,24383978474.0,-160769913338.0,-72902172848.0,140106500622.0,-249177568685.0,7201849016667.0,-662000885259.0,104837627930.0,-902713280027.0,705582195600.0,0.0,33783021591.0,426477019461.0,-294034300704.0,0.0,0.0,14846315699024.0,-20456008560806.0,0.0,-37577909520.0,-5647270771302.0,1260543944661.0,10104302324164.0,1570300476.0,11366416569301.0,VCI,yearly
PLX,2015,1,576041986962.0,423770873964.0,29232733009.0,104423768419.0,-95257428409.0,155338976058.0,0.0,1193550910003.0,-797246981521.0,1385416807814.0,-2980186964673.0,57757320222.0,-134095624908.0,-132676802996.0,111870617956.0,-210728122782.0,-1506338840885.0,-262989319772.0,25215602398.0,-424912615330.0,449459312473.0,0.0,7984191470.0,97152016276.0,-108090812485.0,0.0,0.0,23428957922988.0,-21503457886291.0,0.0,0.0,1925500036697.0,311070383327.0,9793891439264.0,-659498427.0,10104302324164.0,VCI,yearly
PLX,2014,2,518725362404.0,412580648768.0,-77930268628.0,206107463018.0,-218905631526.0,163430837410.0,0.0,1004008411446.0,-1280435088442.0,1066906686956.0,-1515865584967.0,-69398733004.0,-178782388339.0,-116497695413.0,-38766973665.0,68605092378.0,-1060226273050.0,-410886565438.0,20350329189.0,-1044775691074.0,967632906645.0,427189592.0,10559094925.0,161537183143.0,-295155553018.0,0.0,0.0,24699968658138.0,-23436317279380.0,284701974.0,0.0,1263936080732.0,-91445745336.0,8044580399467.0,4833921737.0,7957968575868.0,VCI,yearly
PLX,2014,1,337438620421.0,409779886469.0,21419432177.0,-147199772.0,-99991481252.0,182079694007.0,0.0,850578952050.0,-2827674313712.0,-3618889800170.0,1476297267208.0,49048372496.0,-176805022395.0,-136792647092.0,100827074185.0,-135892203003.0,-4419302320433.0,-235691634198.0,43942690020.0,-584763847295.0,852652037508.0,-427189592.0,1471351060.0,101332611016.0,178516018519.0,0.0,0.0,30028494420017.0,-23892321015962.0,-284701974.0,0.0,6135888702081.0,1895102400167.0,6152276208446.0,-2798209146.0,8044580399467.0,VCI,yearly
