ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Minority Interest,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Goodwill,Other Reserves,MINORITY INTERESTS,data_source,period_type
SSI,2025,2,89550336667018,2748925366218,85482037776767,1035569708667,283803815366,2433176649832,219742865717,292778131318,1441377059911,99592756998,91983513316850,63377895977307,63291410737998,86485239309,28605617339543,28605617339543,7534339463669,0,91983513316850,125763752038,237782272551,19738639180000.0,19738639180000,0.0,0,825247683500,61249715165771,12392513694,0,0,0,133012606474.0,VCI,quarterly
SSI,2025,1,81293962685663,117041162784,80194130412107,892133252915,90657857857,2749939025896,211502819388,199470919479,1827068578505,123024501631,84043901711559,56340548607124,56248437443943,92111163181,27703353104435,27703353104435,6700405049625,0,84043901711559,147173031496,22573537567,19638639180000.0,19638639180000,0.0,0,2497683500,55246837451353,15136486160,0,0,0,150617872897.0,VCI,quarterly
SSI,2024,4,70932391912367,239000238200,68837856119619,1736645866759,118889687789,2574910647355,231350675694,200196436698,1625606669387,130133532200,73507302559722,46680651947954,46599438522989,81213424965,26826650611768,26826650611768,5856098315938,0,73507302559722,927764853829,41677606235,19638639180000.0,19638639180000,0.0,0,26490726300,45501969699137,21614788489,0,0,0,150619133436.0,VCI,quarterly
SSI,2024,3,64283674695267,661286681720,62354943614851,1062424832639,205019566057,1897542761658,234605285208,231817425992,1280930604244,124510225194,66181217456925,42066410395026,41980686966169,85723428857,24114807061899,24114807061899,5439873213407,0,66181217456925,549225795107,132831614567,18129500510000.0,18129500510000,0.0,0,30968683500,39286186214180,26838443296,0,0,0,139993514413.0,VCI,quarterly
SSI,2024,2,67557580592301,2131566837092,64359289585324,959963564061,106760605824,3549972606412,228150407230,242348461874,2902883108920,128625439831,71107553198713,46267811302392,46201434111239,66377191153,24839741896321,24839741896321,6154928964957,0,71107553198713,335410732638,24093635902,15111301370000.0,15111301370000,0.0,0,28168683500,45072985788890,29056855548,0,0,0,140512921116.0,VCI,quarterly
SSI,2024,1,61957599288394,155035169321,60997210048830,676374561972,128979508271,3530720516006,249144719204,238736697430,2873858104204,130084263539,65488319804400,41467415169452,41413284980947,54130188505,24020904634948,24020904634948,5459506397000,0,65488319804400,65715066030,48555200567,15011301370000.0,15011301370000,0.0,0,33890183500,40099838219767,25763848585,0,0,0,140582172243.0,VCI,quarterly
SSI,2023,4,65755288989504,493905528209,64562247311823,603116700662,96019448810,3486038113148,269476512837,235719785810,2821238620032,127489853002,69241327102652,46000434991839,45939117288142,61317703697,23240892110813,23240892110813,4696261511253,0,69241327102652,32286430398,12393462568,15011301370000.0,15011301370000,0.0,0,23583183500,43168931078677,30191564114,0,0,0,140533221129.0,VCI,quarterly
SSI,2023,3,51841642743087,410966341358,49928727488657,1375664385499,126284527573,3440811079958,276968702738,238429387218,2764661517036,129178290334,55282453823045,32574699378786,32516696345408,58003033378,22707754444259,22707754444259,4181332191164,0,55282453823045,932453224964,7190069102,15011301370000.0,15011301370000,0.0,0,216787891811,30410313925386,35281609750,0,0,0,141710243634.0,VCI,quarterly
SSI,2023,2,46622415575454,155382877316,44825995601498,1502465646791,138571449849,3513667314366,249111322650,233521655248,2847342805195,153609033453,50136082889820,28142515629062,28087365629195,55149999867,21993567260758,21993567260758,3468543522948,0,50136082889820,1042101335878,19650572301,15011301370000.0,15011301370000,0.0,0,214996791811,24770970452472,40746441761,0,0,0,142692070360.0,VCI,quarterly
SSI,2023,1,49184621082401,142513532064,47295337115482,1609327029491,137443405364,3524283805809,260723920146,261233198900,2808787056746,167003826593,52708904888210,29736151739455,29680297225934,55854513521,22972753148755,22972753148755,4456105004087,0,52708904888210,1105060666455,23391785634,15011301370000.0,15011301370000,0.0,0,4871592590,28207391544425,45362721496,0,0,0,138461087642.0,VCI,quarterly
SSI,2022,4,48731915104609,1417807262731,45402177277290,1801895779710,110034784878,3494467781872,281930596475,265112905732,2773073277309,148450682515,52226382886481,29842500921821,29788710759101,53790162720,22383881964660,22383881964660,3953892022051,0,52226382886481,1413299966298,2275883968,14911301370000.0,14911301370000,0.0,0,4821592590,27892289728472,53000229779,0,0,0,138841784986.0,VCI,quarterly
SSI,2022,3,42024269584069,615638500529,40327640638155,930549690499,150440754886,3412090513519,206016104959,271321649742,2726337945838,152783165992,45436360097588,23274554098298,23221460807241,53093291057,22161805999290,22161805999290,3719817095008,0,45436360097588,548537317256,37746035635,14911301370000.0,14911301370000,0.0,0,7412692590,21404966597435,48340583087,0,0,0,143971462287.0,VCI,quarterly
SSI,2022,2,38842013253064,238480153762,37921798128491,535359040339,146375930472,4429679041588,214799404251,266292545752,3778053703363,136811620052,43271692294652,28904944223517,28844816614746,60127608771,14366748071135,14366748071135,3378793168412,0,43271692294652,196782615281,44162390934,9947500220000.0,9947500220000,0.0,0,12636925923,25754560879629,39279629596,0,0,0,144056144515.0,VCI,quarterly
