,time,open,high,low,close,volume
138,2025-04-18,58.7,59.6,58.1,58.1,2169852
139,2025-04-21,58.5,58.9,58.1,58.2,1294415
140,2025-04-22,58.1,58.8,54.7,58.5,3860343
141,2025-04-23,59.4,59.4,58.0,58.0,1930757
142,2025-04-24,58.2,58.6,58.0,58.2,1864710
143,2025-04-25,58.2,59.0,57.5,57.5,3685216
144,2025-04-28,57.7,58.3,57.5,57.5,1657552
145,2025-04-29,57.7,58.5,57.3,57.3,2437717
146,2025-05-05,57.5,58.0,57.0,57.1,2105718
147,2025-05-06,57.3,58.0,57.0,57.0,2998281
148,2025-05-07,57.1,57.5,57.0,57.0,2419087
149,2025-05-08,57.4,57.7,56.9,57.1,3026860
150,2025-05-09,57.3,57.6,56.6,56.6,5848894
151,2025-05-12,57.0,57.3,56.2,56.6,6007242
152,2025-05-13,57.1,57.3,56.6,56.8,7406543
153,2025-05-14,57.2,58.8,57.2,58.7,8033608
154,2025-05-15,59.3,59.8,58.7,58.7,8083606
155,2025-05-16,58.8,59.0,57.5,57.5,8381977
156,2025-05-19,57.4,57.6,57.0,57.0,4795918
157,2025-05-20,57.0,57.4,56.8,57.1,3875082
158,2025-05-21,57.5,57.9,57.0,57.1,5168505
159,2025-05-22,57.1,57.4,56.9,56.9,3701203
160,2025-05-23,56.9,57.5,56.7,56.8,3554951
161,2025-05-26,56.9,57.0,56.0,57.0,4737429
162,2025-05-27,56.8,57.2,56.7,56.8,5557215
163,2025-05-28,57.1,57.6,56.8,56.8,4959537
164,2025-05-29,57.2,57.2,56.7,56.7,3911542
165,2025-05-30,56.8,56.9,56.4,56.4,3940554
166,2025-06-02,56.5,56.5,56.1,56.2,3232645
167,2025-06-03,56.7,56.9,56.4,56.8,3370416
168,2025-06-04,56.9,57.0,56.5,56.6,2695759
169,2025-06-05,56.7,56.8,56.3,56.3,2788584
170,2025-06-06,56.3,56.6,56.1,56.1,2536554
171,2025-06-09,56.2,56.4,55.9,55.9,2229030
172,2025-06-10,56.0,56.2,55.9,55.9,2235688
173,2025-06-11,56.2,56.2,55.7,55.7,2300663
174,2025-06-12,56.0,56.1,55.7,56.0,2566853
175,2025-06-13,55.9,57.1,55.6,56.2,5375563
176,2025-06-16,56.2,56.7,56.2,56.6,4344263
177,2025-06-17,56.9,57.5,56.8,57.2,5168205
178,2025-06-18,57.2,57.3,56.5,56.7,3428307
179,2025-06-19,56.7,57.0,56.5,56.6,2372564
180,2025-06-20,56.7,57.2,56.5,57.1,6892497
181,2025-06-23,56.7,56.9,56.5,56.6,2485826
182,2025-06-24,56.9,57.1,56.6,56.6,3513030
183,2025-06-25,56.8,56.9,56.6,56.6,2745087
184,2025-06-26,56.7,56.8,56.4,56.4,2847282
185,2025-06-27,56.6,57.3,56.4,56.7,4088599
186,2025-06-30,57.0,57.2,56.9,57.0,2959226
187,2025-07-01,57.2,58.8,57.1,58.2,10063516
188,2025-07-02,58.3,58.6,57.7,58.0,2921604
189,2025-07-03,58.1,58.8,57.7,57.9,7406255
190,2025-07-04,57.9,58.8,57.8,58.4,4856776
191,2025-07-07,58.5,58.9,58.2,58.6,8065549
192,2025-07-08,58.8,59.5,58.6,59.0,10404990
193,2025-07-09,59.4,61.8,59.4,61.5,16474683
194,2025-07-10,61.8,61.8,61.0,61.4,8166436
195,2025-07-11,61.5,63.1,61.5,62.7,12718706
196,2025-07-14,62.9,62.9,61.0,62.4,6488467
197,2025-07-15,62.4,62.6,61.4,61.4,6329827
198,2025-07-16,61.4,62.1,61.1,61.8,7612148
199,2025-07-17,61.8,62.7,61.8,62.2,10002629
200,2025-07-18,62.3,62.6,61.8,61.9,6924692
201,2025-07-21,62.2,62.7,61.3,61.3,6147587
202,2025-07-22,61.3,62.2,60.9,62.2,4912448
203,2025-07-23,62.5,62.6,61.8,62.1,5096822
204,2025-07-24,62.2,63.5,61.9,62.1,8723746
205,2025-07-25,62.1,62.5,61.9,62.0,4984788
206,2025-07-28,62.2,63.0,62.1,62.8,10496568
207,2025-07-29,63.2,63.2,61.0,61.0,10608513
208,2025-07-30,61.0,61.9,60.4,60.9,7282600
209,2025-07-31,61.5,61.7,60.1,60.2,6077831
210,2025-08-01,60.3,60.6,59.7,60.2,4763193
211,2025-08-04,60.1,61.4,60.0,61.1,4468217
212,2025-08-05,61.5,63.7,61.2,61.5,18607660
213,2025-08-06,62.1,62.8,61.9,62.3,4685719
214,2025-08-07,62.9,62.9,61.3,61.7,9509430
215,2025-08-08,62.2,63.3,61.6,61.9,10690824
216,2025-08-11,62.1,63.2,62.1,62.5,7276190
217,2025-08-12,62.8,64.8,62.7,63.0,12145378
218,2025-08-13,63.5,63.6,62.0,62.5,7530834
219,2025-08-14,63.7,66.3,63.3,65.2,19031114
220,2025-08-15,67.4,67.5,64.2,64.3,16686938
221,2025-08-18,64.8,65.6,64.0,64.5,8310087
222,2025-08-19,64.5,65.4,64.2,64.2,9202625
223,2025-08-20,64.5,64.6,62.2,63.0,10551682
224,2025-08-21,63.3,65.0,63.3,64.2,9648977
225,2025-08-22,64.0,67.2,63.7,64.6,18963941
226,2025-08-25,65.8,65.8,63.4,63.6,7761134
227,2025-08-26,63.6,65.0,62.9,64.6,7996194
228,2025-08-27,65.0,69.1,65.0,69.1,31104601
229,2025-08-28,69.5,70.6,68.7,69.0,8814793
230,2025-08-29,69.2,70.1,68.5,68.6,14710787
231,2025-09-03,68.8,68.8,67.0,67.0,14234980
232,2025-09-04,67.5,69.0,66.9,68.9,8952641
233,2025-09-05,69.5,69.6,67.5,67.5,11059084
234,2025-09-08,67.1,67.5,65.3,65.3,11267729
235,2025-09-09,65.5,66.2,64.5,64.9,6203308
236,2025-09-10,65.6,66.0,64.8,65.8,5013842
237,2025-09-11,65.6,66.0,64.2,65.7,6357770
238,2025-09-12,66.2,66.2,65.0,65.8,5700154
239,2025-09-15,66.0,66.0,65.5,65.8,5376095
240,2025-09-16,66.0,66.6,65.6,65.6,6774895
241,2025-09-17,65.5,65.8,64.8,64.8,5636500
242,2025-09-18,64.9,64.9,63.6,63.9,8795058
243,2025-09-19,64.2,64.5,63.0,63.0,6943361
244,2025-09-22,63.0,63.2,61.8,62.0,6074286
245,2025-09-23,62.4,63.1,62.2,62.2,3274863
246,2025-09-24,62.4,62.7,61.8,62.7,3884578
247,2025-09-25,63.3,63.4,62.7,63.0,3876042
248,2025-09-26,63.2,63.4,62.9,63.0,3987553
249,2025-09-29,62.9,62.9,62.4,62.4,2671600
