Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VJC,2025,2,3.4973975002,3.7311997812,0.7521253017835409,4.007071564279058,0.7312033183,5.2852342524,78.6717318170406,10.5324765069,33.2858907712,122.4900990951406,34.6547176972,0.07451147827469731,0.13513712311438053,0.036475975144862935,0.0991021783,0.0591209918,0.0184667962,5139408007180.0,1332660418611,0.0,1.0940050698,0.2184533426,1.0315035765,-1.5969667965013619,4.731199781235647,76140378685800.0,591611334.0,37.5421065698,3.2149757567,1.0309748923,27.6322047682,1102.7237917656257,40031.4060634173,23.3546759548,VCI,yearly
VJC,2025,1,4.1024610864,4.5401975834,0.7871262357876498,3.0133264173737078,0.7520350056,5.870345999,84.45214873030645,8.8489827629,39.6738512689,132.97498276210644,41.2476789459,0.08703602903477631,0.13389406120973077,0.03567579226550352,0.0885519029,0.0626847512,0.0157002701,4452728932812.0,1562483854245,0.0,1.1408810036,0.1006152009,1.0754588434,-1.9290339419982598,5.540197583353503,58569522066000.0,591611334.0,35.8578930338,2.5683651754,0.8111510578,-16.1387790038,1082.5640747748082,38545.9205524585,22.3591358444,VCI,yearly
VJC,2024,4,4.351195679,4.8784867052,0.8275293321496967,2.8935741729897284,0.7708126437,5.9047542387,77.63013019546464,7.6181835554,42.1860860423,127.43439979316463,47.9116835849,-0.00010483230931338864,0.06029160985504596,3.786782357817981e-05,0.0887230777,0.0498867293,0.0152940083,3633967796956.0,-2081038287,0.0,1.2521454998,0.1639152866,1.192905548,0.0016754767557326446,5.801560908659223,45116224122200.0,541611334.0,31.6432533669,2.668327341,0.6278467055,253.9205756958,1.3879298582034474,31218.0588643018,22.2234096008,VCI,yearly
VJC,2024,3,3.4538212961,4.6069596231,0.5899047771024646,2.826721963500618,0.7965763324,7.009107783,76.22281489301874,5.3446040087,48.6808742122,130.24829311391875,68.2931793273,0.08392803322083581,0.12125390937372534,0.031467646671489075,0.0943110271,0.0320358924,0.0171517591,2357935255110.0,1524487841940,0.0,1.1167650838,0.0783537245,1.0871868223,-2.125874712955585,5.606959623147014,53348716399000.0,541611334.0,34.9010338694,3.1946894466,0.7514836939,-112.5273672544,1055.3425297540025,30832.4178754501,37.7413446412,VCI,yearly
VJC,2024,2,3.265048309,4.5822557375,0.6742198831046097,2.79198198786266,0.7906962591,7.3513656709,82.5179595000618,5.5470203771,56.3272663095,144.3922461866618,65.8010923317,0.045572868910253514,0.12370286023453253,0.018145273868688232,0.0689568729,0.012685345,0.0128765555,1237270491045.0,740010019951,0.0,1.1384225304,0.0928618476,1.112603074,-1.041611367797204,5.582255737463539,58114896138200.0,541611334.0,53.213670105,3.5236564802,0.8665891227,-10.9191760041,544.0101646949655,30451.3225400449,73.4748263158,VCI,yearly
VJC,2024,1,2.9971729902,4.3468878653,0.6632777312428294,2.713265534568849,0.8474356197,8.623727015,81.04034754586533,5.5137569635,56.5127424919,143.06684700126533,66.198057407,0.050486566186837126,0.09809362850280823,0.030136237347241964,0.0492883495,-0.000377531,0.0095562636,511929764970.0,898256615693,0.0,1.0952779688,0.1139470397,1.0680669436,-1.249833249203733,5.346887865300896,55244356068000.0,541611334.0,72.6541322117,3.4467896096,0.819297679,-157.9784552617,989.9787549146821,29592.7548680268,162.2389627365,VCI,yearly
VJC,2023,4,3.1513426363,4.6988540843,0.5670911065447078,2.64237499675133,0.7529649029,7.3462681829,95.48608679699433,5.5126131992,60.3710577693,161.36975776549434,66.2117922678,-0.07553883562529667,-0.00544475320652992,0.006711703545983024,0.015316697,-0.0114773895,0.0029760885,-115440483892.0,-1419904412587,0.0280373832,1.0505769034,0.1554429691,1.0324771136,2.2946352582207523,5.416956656199377,57952412738000.0,541611334.0,251.3213464063,3.8046784337,0.9933458714,-13.6466605304,232.93451469388933,28123.2703008722,-685.7973919064,VCI,yearly
VJC,2023,3,2.5955776346999997,4.0308941657,0.3839157866289808,2.5715695901767495,0.7818107005,9.410110222,108.01319151566382,6.8017292288,65.9100800523,180.72500079676382,53.6628242204,0.030896412481387282,0.08716574638293462,0.009492222807531755,-0.1404262106,-0.0900250509,-0.029360571,-3164007813688.0,439800966310,0.0284900285,1.1459493646,0.1037652867,1.1081942939,-0.906985482732174,5.0308941656906905,57031673470200.0,541611334.0,-27.3405384991,3.74761494,1.0267623887,13.8717003921,249.47573133135356,28097.8706951893,-24.7306732832,VCI,yearly
VJC,2023,2,2.0663071536,3.7889114637,0.39825387640125115,2.5139654999716416,0.7692808288,10.6922190171,123.14454720456285,6.6685056739,64.0309663391,193.84401921756285,54.7349013184,0.0038631555540573222,0.04315277209889079,-0.0022335133685626274,-0.1413366073,-0.1131441275,-0.0317018713,-3590232366394.0,64148546254,0.0307062436,1.0551929228,0.1057499782,1.019157407,-0.16290775000055274,4.788911463666171,52915427331800.0,541611334.0,-24.2681665874,3.5630805123,1.0000850989,9.876113637,-68.47711189884369,27420.0932764657,-19.4146425243,VCI,yearly
