exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-06-30,2024,0.3,cash
2024-12-26,2024,0.2,cash
2024-07-05,2023,0.2,cash
2024-01-04,2023,0.15,cash
2023-06-09,2022,0.15,cash
2023-03-02,2022,0.1,cash
2022-12-20,2022,0.25,cash
2022-03-02,2021,0.15,cash
2022-01-07,2021,0.2,cash
2021-03-02,2020,0.15,cash
2020-11-30,2020,0.2,cash
2020-02-13,2019,0.35,cash
2019-09-05,2018,0.15,cash
2018-11-26,2018,0.2,cash
2018-10-16,2018,0.15,cash
