ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
SAB,2016,2,1758652545840,178038092002,-7124994638,-22073898,0,-302796673099,30789908633,0,1657536804840,-161169968105,-289041634997,143299508073,80797679265,-30327704618,-155297881774,-20329538558,-188192491927,1037274772199,-103403272049,-46764634512,-822500000000,754900000000,-3191890000,7682200000,378232283337,164954686776,0,0,982930981251,-1382007040974,-258627622257,-657703681980,544525776995,8847741140903,0,9392266917898,VCI,yearly
SAB,2016,1,1225534866458,141346692947,7300619290,23754430,0,-107042593333,16149227628,0,1283312567420,238241521872,456666809878,-594024248001,52453123299,-18039625712,-247178599507,20329538558,-16525324786,1175235763021,-43207455027,47366134512,-636400000000,250000000000,0,4317800000,43693979963,-334229540552,0,0,971709968982,-900903829626,-45524000,70760615356,911766837825,7935974303078,0,8847741140903,VCI,yearly
SAB,2015,4,744392035337,156647982672,18596720779,436856594,0,-267248858513,18053845235,0,670878582104,189554868293,-84207772838,-749162217339,87302845695,-25659648952,-385463525188,-84780350344,-185288351005,-566825569574,-45637017332,1690196207,-610591606830,320747452804,29306699200,38874970000,324050372628,58441066677,0,7000000000,1199100420713,-363627264878,-76043166845,766429988990,258045486093,7677928816985,0,7935974303078,VCI,yearly
SAB,2015,3,1326713007519,166622408778,5845949762,-83003678,0,-221960442582,17968505124,0,1295106424923,-321065858394,-67840181130,304636621728,75733480804,6305312453,-216019052798,84780350344,92754547320,1254391645250,-88161090847,-52217520,181000000000,0,-42628971275,14342077013,1992040308,66491837679,0,0,321189336830,-631927592503,-1577398459180,-1888136714853,-567253231924,8245182048909,0,7677928816985,VCI,yearly
SAB,2015,2,1146492122955,155998519554,-1608717936,3067966,0,-207233066294,19478642032,0,1113130568277,117679720712,71411352281,638120402831,68202576785,-43033340763,-305508561019,-15623829587,-140886462287,1503492427230,-94214109907,2399329563,-309922077013,248319783533,-104704448725,-1861692013,200713787050,-59269427512,0,0,680578767081,-799767803183,-25475317945,-144664354047,1299558645671,6945623403238,0,8245182048909,VCI,yearly
SAB,2015,1,1252412288113,155972722770,6484980,27103427,0,-123185549313,21090499909,0,1306323549886,-91586104617,-4296166337,-968494850874,42391474472,-17939321502,-304878292676,15623829587,-10467621869,-33323503930,-80660969440,0,265922077013,0,0,13439615000,118294104883,316994827456,0,0,704473784745,-797516093932,-64400500,-93106709687,190564613839,6755058789399,0,6945623403238,VCI,yearly
SAB,2014,4,534505251299,148339656293,-45496170915,-1178793527,-5472684995,215685273997,22631394493,-352889124104,516124802541,191682439166,-312656533515,1690861296017,108518581290,-50701947181,-172296861938,-37341700762,-264005835706,1670184239912,-252184235233,81209999792,-983585361111,0,0,27057100347,312626798117,-814875698088,0,0,643866688731,-681116412156,-456019386856,-493269110281,362039431543,1455019357856,0,1817058789399,VCI,yearly
SAB,2014,3,1201230683284,152680768097,30893768761,-253026478,0,-251818401023,23781210231,0,1156515002872,-81671210854,60489689893,-576332740583,8767065376,13929018380,-280808245959,37341700762,55470464617,393700744504,-151560794190,-83464588077,-661312345409,-5587450000,-20000000000,-359084871304,920542613687,-360467435293,0,0,962265908918,-932992371797,-49108340065,-19834802944,13398506267,1441121103843,0,1454519610110,VCI,yearly
SAB,2014,2,1077657386239,144082487229,-29271136960,20621953,0,-170994515227,28389985600,0,1049884828834,-110270560812,188064715265,729425042965,72863885625,-66229225807,-316781095507,-6499700997,-69147806781,1471310082785,-273263751212,79022455077,-623302293480,5587450000,4000000000,359084871304,-988402461526,-1437273729837,0,0,256929933073,-436940239304,36047065216,-143963241015,-109926888067,1551047991910,0,1441121103843,VCI,yearly
SAB,2014,1,1104164506372,137995833907,-109062482,-63501168,0,-120466104188,32413790071,0,1153935462512,29722607106,-114352545639,-1306202201210,-126293593606,-31008813113,-287632229237,6499700997,-10390236831,-685721849021,-278782076283,6201643000,603302293480,0,-4000000000,5499450000,329090116117,661311426314,0,0,181211262153,-313618147218,-140390266808,-272797151873,-297207574580,1848255566490,0,1551047991910,VCI,yearly
SAB,2013,4,298472625455,118511605143,73922304706,-701692046,25833818100,222770633238,37622944194,-370201638197,406230600593,70792929386,-350661968063,1241493164771,44046983263,-15121144471,-271451140042,19596545906,-101698442855,1043227528488,-245868669782,-64527028133,-136626560000,0,154367557718,-47542562377,108645628593,-231551633981,0,0,564113428962,-313494183665,-783617022214,-532997776917,278678117590,1570077196646,0,1848755314236,VCI,yearly
SAB,2013,3,975697250454,135175885201,-1996099773,-541601280,0,-141682547385,30361637657,0,997014524874,-188671766753,44694224850,509028263537,-51581960139,-38244516453,-206517495028,17729085862,-13854111519,1069596249231,-122460583887,92635359764,0,0,-729150000000,2775483992,67156903804,-689042836327,0,0,143729546670,-416059195763,-69011076952,-341340726045,39212686859,1530864509786,0,1570077196645,VCI,yearly
