,short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
29,TBLF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ SGI,1.3,2021-09-29,10754.28,-1.24,13.57,7.54,0.44,10.95,15.62,16.08,33.93,20.96,6.55,2025-09-29,41,TBLF,TBLFN001
30,DCBF,QUỸ ĐẦU TƯ TRÁI PHIẾU DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2013-06-09,28452.84,0.02,4.92,105.84,0.5,1.68,3.42,6.87,15.15,20.81,6.5,2025-09-29,27,VFMVFB,VFMVFBN001
31,VCAMFI,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢN VIỆT,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.0,2022-09-21,11996.35,0.01,4.34,19.93,0.01,1.21,3.5,5.9,13.0,19.94,6.25,2025-09-29,63,VCAMFI,VCAMFIN001
32,SSIBF,QUỸ ĐẦU TƯ TRÁI PHIẾU SSI,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.0,2017-08-29,16296.75,0.01,3.83,62.97,0.47,1.32,2.59,5.53,13.16,19.9,6.24,2025-09-29,8,SSIBF,SSIBFN001
33,ASBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN TOÀN AMBER,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ AMBER,0.85,2021-05-24,12445.75,0.02,3.59,24.63,0.37,1.19,2.34,5.07,11.31,18.83,5.92,2025-09-29,51,ASBF,ASBFN001
34,DCIP,QUỸ ĐẦU TƯ TRÁI PHIẾU GIA TĂNG THU NHẬP CỐ ĐỊNH DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2021-05-23,11687.16,0.05,3.97,16.93,0.44,1.28,2.69,5.51,11.71,15.58,4.94,2025-09-29,67,VFMVFC,VFMVFCN001
35,VLBF,QUỸ ĐẦU TƯ TRÁI PHIẾU THANH KHOẢN VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.9,2021-08-12,12136.57,0.03,3.48,21.36,0.3,1.07,2.22,4.76,9.2,15.12,4.8,2025-09-29,53,VLBF,VLBFN001
36,DFIX,QUỸ ĐẦU TƯ TRÁI PHIẾU DFVN,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ DAI-ICHI LIFE VIỆT NAM,0.9,2021-02-03,11749.42,0.12,3.4,17.49,0.07,1.71,2.22,4.11,6.46,14.24,4.54,2025-09-29,30,DFIX,DFIXN002
37,TCGF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ THÀNH CÔNG,1.0,,12816.7,1.95,27.01,28.17,3.1,21.35,23.22,,,,,2025-09-29,79,TCGF,TCGFN001
38,UVEEF,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),1.75,2022-09-29,17600.33,0.25,18.55,76.0,0.27,20.17,22.3,19.64,45.72,,,2025-09-29,58,UVEEF,UVEEFN001
39,BMFF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.8,2023-01-02,16271.0,-0.12,27.63,62.71,-0.37,15.27,22.27,28.33,50.67,,,2025-09-29,87,BMFF,BMFFN001
40,VCAMDF,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.5,,11223.73,-0.56,15.31,12.24,1.46,11.24,21.23,13.72,,,,2025-09-29,75,VCAMDF,VCAMDFN001
41,RVPIF,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ RỒNG VIỆT,1.5,,11942.3,1.62,,19.42,2.49,16.33,19.42,,,,,2025-09-29,83,RVPF24,RVPF24N001
42,EVESG,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ EASTSPRING INVESTMENTS,1.3,2024-09-26,12241.0,1.44,19.24,22.41,0.09,17.61,18.43,,,,,2025-09-29,89,EVESG,EVESGN001
43,PHVSF,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ PHÚ HƯNG,1.5,2022-11-20,14163.09,-0.13,15.53,41.64,-0.51,18.48,17.56,15.54,25.64,,,2025-09-29,66,PHVSF,PHVSFN001
44,VCBF-AIF,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,,11363.64,1.26,,13.64,3.15,13.9,15.5,,,,,2025-09-29,82,VCBFAIF,VCBFAIFN001
45,VMEEF,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2023-04-10,17220.07,-0.35,13.62,72.25,-1.24,16.06,15.49,13.31,58.06,,,2025-09-29,68,VMPF,VMPFN001
46,MDI,QUỸ ĐẦU TƯ NĂNG ĐỘNG MANULIFE,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.75,2023-11-29,12399.0,-0.09,12.2,24.0,0.4,12.93,12.35,13.03,,,,2025-09-29,77,MDI,MDI
47,LHCDF,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ LIGHTHOUSE,1.5,,12361.4,0.77,11.89,23.61,1.35,11.12,11.88,17.46,,,,2025-09-29,76,LHCDF,LHCDFN001
48,VDEF,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2024-06-03,11684.63,-0.01,10.59,16.85,1.36,17.04,9.21,14.58,,,,2025-09-29,80,VDEF,VDEFN001
49,UVDIF,QUỸ ĐẦU TƯ UNITED THU NHẬP NĂNG ĐỘNG VIỆT NAM,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),1.5,,10870.56,0.5,7.24,8.71,1.48,6.83,8.0,7.91,,,,2025-09-29,78,UVDIF,UVDIFN001
50,HDBOND,QUỸ ĐẦU TƯ TRÁI PHIẾU LỢI TỨC CAO HD,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ HD,0.95,2022-12-29,12025.43,0.01,5.54,20.27,0.54,3.9,4.28,5.92,12.26,,,2025-09-29,62,HDBOND,HDBONDN001
51,MBAM,QUỸ ĐẦU TƯ TRÁI PHIẾU DÒNG TIỀN LINH HOẠT MB,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2024-04-10,10892.0,-0.02,4.77,8.92,0.38,1.58,3.25,6.1,,,,2025-09-29,88,MBAM,MBAMN001
52,LHBF,QUỸ ĐẦU TƯ TRÁI PHIẾU LIGHTHOUSE,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ LIGHTHOUSE,1.0,2022-12-28,14477.89,0.11,5.74,42.41,-0.75,1.86,3.25,7.94,18.97,,,2025-09-29,64,LHBF,LHBFN001
53,VNDCF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,0.9,2023-08-03,11213.88,0.03,4.05,12.14,0.51,1.45,2.62,5.36,11.97,,,2025-09-29,40,VNDCF,VNDCFN001
54,PBIF,QUỸ ĐẦU TƯ CÂN BẰNG PVCOM,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,1.3,,9055.39,-2.06,-13.42,-9.45,-5.4,-8.14,-13.84,-13.78,-15.03,,,2025-09-29,61,PBIF,PBIFN001
55,SSI-EF,QUỸ ĐẦU TƯ KIẾN TẠO TƯƠNG LAI SSI,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,0.0,,10000.0,0.0,,0.0,,,,,,,,2025-09-29,90,SSIEF,SSIEFN001
56,KDEF,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ KIM VIỆT NAM,1.7,,13014.46,-0.14,,30.14,-0.95,19.4,,,,,,2025-09-29,86,KDEF,KDEFN001
57,LPBF,QUỸ ĐẦU TƯ TRÁI PHIẾU LP,Quỹ trái phiếu,CÔNG TY QUẢN LÝ QUỸ GENESIS,1.2,,10131.13,-0.02,,1.48,0.49,,,,,,,2025-09-29,69,GFMVIF,GFMVIFN001
