exercise_date,cash_year,cash_dividend_percentage,issue_method
2024-08-23,2024,0.132,share
2023-06-23,2023,0.145,share
2022-06-16,2022,0.127,share
2021-07-23,2021,0.091,share
2020-09-21,2020,0.14,share
2018-12-17,2018,0.088,share
2013-12-31,2013,0.025,share
2010-12-31,2010,0.053,share
