ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
MWG,2025,2,2028204755376,489299387395,13861998805,20285050148,-721876708932,375178482038,2204952964830,-251635229938,-888492280751,994923531151,7330869497,-311664671169,-312745003158,0,1442670180462,-255979320848,1755696465,-13442045712675,9722310788550,-104772187500,0,520808780312,-3557921955696,174490000000,-3241610000,22571231063140,-17255443886818,0,5487035566322,3371783791088,2658218136149,65821202,6030067748439,VCI,quarterly
MWG,2025,1,1934661387220,508919466750,11990839619,10006964390,-637707361482,322792850500,2150664146997,-20551258,-575792834900,1748346307159,-51385677184,-325485637820,-456800409565,0,2489525343429,-163054946249,755077318,-12842790158451,8842431495252,0,0,464757235329,-3697901296801,0,0,19644968702325,-20675754394437,0,-1030785692112,-2239161645484,4897331540730,48240903,2658218136149,VCI,quarterly
MWG,2024,4,1035471253998,806163942588,66918985373,-141025314729,-627238602343,323470486929,1463760751816,38470643956,-454321055722,-325910980822,-6332644201,-307080568328,-280150639769,0,128435506930,-62842918607,7320550676,-19208764699749,10647198693834,0,-1777389076956,2376478611267,-8017998839535,0,-4311790000,20459240811095,-17420567788704,0,3034361232391,-4855202100214,9752339611719,194029225,4897331540730,VCI,quarterly
MWG,2024,3,1068045400607,709538513762,80430663127,20090137067,-283114817875,303696061820,1898685958508,325328320498,-892284242431,193484688240,33370603157,-320504510983,-316590960701,0,921489856288,-192924283078,13744481224,-7206863787201,9836218769118,0,1777389076956,-1354529919662,2873034337357,-6870914127,0,18966926966123,-18047655601891,-730957694000,181442756105,3975966949750,5776462799036,-90137067,9752339611719,VCI,quarterly
MWG,2024,2,1516043093292,678485705848,10720119998,44786364809,-299454082517,243089634104,2193670835534,-245714153459,-559392776703,1703772577621,35334158153,-238666474463,-263393323126,0,2625610843557,-25473845353,23100009043,-12886534558449,10309832935985,0,0,834079917131,-1744995541643,5139612188,-3287890000,17221762086009,-17898483015502,0,-674869207305,205746094609,5570878069236,-161364809,5776462799036,VCI,quarterly
MWG,2024,1,1206203265181,719230919285,62882883093,101838393807,-519356600752,266979946895,1837778807509,33120379966,1269070160551,2010460439610,65416753793,-275269986960,-98780054502,0,4841796499967,-22506780357,10496649248,-12857087949196,7496014988027,0,0,519757465681,-4853325626597,1773365640481,-1542110000,18108349216306,-19663632014286,0,216540732501,205011605871,5365704857172,161606193,5570878069236,VCI,quarterly
MWG,2023,4,218925223312,701829297877,-21011530774,85793314830,-303257759051,329035164103,1011313710297,262612129132,1191190239280,-669304754250,-42518101861,-476120279595,-110460524384,0,1166712418619,84459988182,17874623315,-8000132052985,7486489366384,-105597412729,-850176017298,1113823997114,-253257508017,443220000,-2116340000,23386416925825,-21284493416508,0,2100250389317,3013705299919,2351917872085,81685168,5365704857172,VCI,quarterly
MWG,2023,3,182016087121,1006840609129,-55178311258,-266996700,-475018894506,438383487662,1096775981448,-90022700555,-923986300505,-844627371226,61107528212,-349433316401,-96410133566,0,-1146596312593,-169717571299,4417187838,-6816046278337,6893118919183,0,850176017298,-663292796669,98655478014,0,-2880000,19130672654158,-18441337404711,-731280023500,-41947654053,-1089888488632,3441539364017,266996700,2351917872085,VCI,quarterly
MWG,2023,2,129784475802,795750255130,-37738373012,-1841689564,-448139684846,384520976326,822335959836,-624212470029,-888833114986,430844019003,35167611010,-339659697858,-94302291722,0,-658659984746,-128149054360,6501879697,-7874531089794,3923745742332,0,0,374001057554,-3698431464571,0,-6752960000,16605054559487,-11580877676096,0,5017423923391,660332474074,2781240200379,-33310436,3441539364017,VCI,quarterly
MWG,2023,1,158966581661,876110565119,-52001853088,-53356364,-311890462234,295778726706,966910201800,1127422344569,4790660933684,-2055474905901,76243066094,-270518576762,-560759008694,0,4074484054790,-309976693317,2370099800,-11460664759521,4501761434555,0,0,288135716115,-6978374202368,0,-911100000,11251588904100,-10626621359930,0,624056444170,-2279833703408,5061020547422,53356365,2781240200379,VCI,quarterly
