exercise_date,cash_year,cash_dividend_percentage,issue_method
2025-05-13,2024,0.1,cash
2024-09-23,2024,0.2,share
2024-06-20,2023,0.05,cash
2023-03-20,2021,0.25,cash
2020-11-30,2020,0.2,share
2018-12-07,2018,0.084,share
